!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!                                                                     !
!          data file        :           spec14.dat                    !
!          t-matrix file    :           tl2_Ni.dat                    !
!          rad integral file:          rad2_Ni.dat                    !
!          cluster file     :             clus.out                    !
!                                                                     !
!                                                                     !
!          spectroscopy     :      PED        algorithm : MI          !
!          inner potential  :     10.00 eV                            !
!                                                                     !
!          initial state    : 2p     selection rules: SELRULE = 10000 !
!                                                                     !
!          incoming beam    :                                         !
!          THETA_LUM:   -55.00  PHI_LUM:     0.00  E_LUM:  1253.60 eV !
!                                                                     !
!          outgoing beam 1  :                                         !
!          THETA_INI:   -10.00      THETA_FIN:    70.00               !
!          PHI_INI  :     0.00      PHI_FIN  :     0.00               !
!          E_INI    :  1208.00 eV   E_FIN    :  1208.00 eV            !
!                                                                     !
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

  PED           CROSS-SECTION
  0  0  0  0  0  0  1  0
   1    81     1    4  0
    4    6.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0    6.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1    6.00    0.00   1208.00  0.000000E+00  0.527471E+00
    1    7.00    0.00   1208.00  0.000000E+00  0.545518E+00
    2    7.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3    7.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4    7.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0    7.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1    7.00    0.00   1208.00  0.000000E+00  0.545518E+00
    1    8.00    0.00   1208.00  0.000000E+00  0.560846E+00
    2    8.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3    8.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4    8.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0    8.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1    8.00    0.00   1208.00  0.000000E+00  0.560846E+00
    1    9.00    0.00   1208.00  0.000000E+00  0.571413E+00
    2    9.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3    9.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4    9.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0    9.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1    9.00    0.00   1208.00  0.000000E+00  0.571413E+00
    1   10.00    0.00   1208.00  0.000000E+00  0.575500E+00
    2   10.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   10.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   10.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   10.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   10.00    0.00   1208.00  0.000000E+00  0.575500E+00
    1   11.00    0.00   1208.00  0.000000E+00  0.571964E+00
    2   11.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   11.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   11.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   11.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   11.00    0.00   1208.00  0.000000E+00  0.571964E+00
    1   12.00    0.00   1208.00  0.000000E+00  0.560422E+00
    2   12.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   12.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   12.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   12.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   12.00    0.00   1208.00  0.000000E+00  0.560422E+00
    1   13.00    0.00   1208.00  0.000000E+00  0.541341E+00
    2   13.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   13.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   13.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   13.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   13.00    0.00   1208.00  0.000000E+00  0.541341E+00
    1   14.00    0.00   1208.00  0.000000E+00  0.515986E+00
    2   14.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   14.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   14.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   14.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   14.00    0.00   1208.00  0.000000E+00  0.515986E+00
    1   15.00    0.00   1208.00  0.000000E+00  0.486250E+00
    2   15.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   15.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   15.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   15.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   15.00    0.00   1208.00  0.000000E+00  0.486250E+00
    1   16.00    0.00   1208.00  0.000000E+00  0.454393E+00
    2   16.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   16.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   16.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   16.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   16.00    0.00   1208.00  0.000000E+00  0.454393E+00
    1   17.00    0.00   1208.00  0.000000E+00  0.422735E+00
    2   17.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   17.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   17.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   17.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   17.00    0.00   1208.00  0.000000E+00  0.422735E+00
    1   18.00    0.00   1208.00  0.000000E+00  0.393366E+00
    2   18.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   18.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   18.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   18.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   18.00    0.00   1208.00  0.000000E+00  0.393366E+00
    1   19.00    0.00   1208.00  0.000000E+00  0.367929E+00
    2   19.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   19.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   19.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   19.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   19.00    0.00   1208.00  0.000000E+00  0.367929E+00
    1   20.00    0.00   1208.00  0.000000E+00  0.347496E+00
    2   20.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   20.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   20.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   20.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   20.00    0.00   1208.00  0.000000E+00  0.347496E+00
    1   21.00    0.00   1208.00  0.000000E+00  0.332555E+00
    2   21.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   21.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   21.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   21.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   21.00    0.00   1208.00  0.000000E+00  0.332555E+00
    1   22.00    0.00   1208.00  0.000000E+00  0.323083E+00
    2   22.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   22.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   22.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   22.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   22.00    0.00   1208.00  0.000000E+00  0.323083E+00
    1   23.00    0.00   1208.00  0.000000E+00  0.318674E+00
    2   23.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   23.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   23.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   23.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   23.00    0.00   1208.00  0.000000E+00  0.318674E+00
    1   24.00    0.00   1208.00  0.000000E+00  0.318684E+00
    2   24.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   24.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   24.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   24.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   24.00    0.00   1208.00  0.000000E+00  0.318684E+00
    1   25.00    0.00   1208.00  0.000000E+00  0.322368E+00
    2   25.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   25.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   25.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   25.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   25.00    0.00   1208.00  0.000000E+00  0.322368E+00
    1   26.00    0.00   1208.00  0.000000E+00  0.328986E+00
    2   26.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   26.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   26.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   26.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   26.00    0.00   1208.00  0.000000E+00  0.328986E+00
    1   27.00    0.00   1208.00  0.000000E+00  0.337863E+00
    2   27.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   27.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   27.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   27.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   27.00    0.00   1208.00  0.000000E+00  0.337863E+00
    1   28.00    0.00   1208.00  0.000000E+00  0.348436E+00
    2   28.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   28.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   28.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   28.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   28.00    0.00   1208.00  0.000000E+00  0.348436E+00
    1   29.00    0.00   1208.00  0.000000E+00  0.360258E+00
    2   29.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   29.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   29.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   29.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   29.00    0.00   1208.00  0.000000E+00  0.360258E+00
    1   30.00    0.00   1208.00  0.000000E+00  0.372995E+00
    2   30.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   30.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   30.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   30.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   30.00    0.00   1208.00  0.000000E+00  0.372995E+00
    1   31.00    0.00   1208.00  0.000000E+00  0.386384E+00
    2   31.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   31.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   31.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   31.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   31.00    0.00   1208.00  0.000000E+00  0.386384E+00
    1   32.00    0.00   1208.00  0.000000E+00  0.400175E+00
    2   32.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   32.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   32.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   32.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   32.00    0.00   1208.00  0.000000E+00  0.400175E+00
    1   33.00    0.00   1208.00  0.000000E+00  0.414028E+00
    2   33.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   33.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   33.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   33.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   33.00    0.00   1208.00  0.000000E+00  0.414028E+00
    1   34.00    0.00   1208.00  0.000000E+00  0.427408E+00
    2   34.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   34.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   34.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   34.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   34.00    0.00   1208.00  0.000000E+00  0.427408E+00
    1   35.00    0.00   1208.00  0.000000E+00  0.439490E+00
    2   35.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   35.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   35.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   35.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   35.00    0.00   1208.00  0.000000E+00  0.439490E+00
    1   36.00    0.00   1208.00  0.000000E+00  0.449119E+00
    2   36.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   36.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   36.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   36.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   36.00    0.00   1208.00  0.000000E+00  0.449119E+00
    1   37.00    0.00   1208.00  0.000000E+00  0.454870E+00
    2   37.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   37.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   37.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   37.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   37.00    0.00   1208.00  0.000000E+00  0.454870E+00
    1   38.00    0.00   1208.00  0.000000E+00  0.455228E+00
    2   38.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   38.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   38.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   38.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   38.00    0.00   1208.00  0.000000E+00  0.455228E+00
    1   39.00    0.00   1208.00  0.000000E+00  0.448864E+00
    2   39.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   39.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   39.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   39.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   39.00    0.00   1208.00  0.000000E+00  0.448864E+00
    1   40.00    0.00   1208.00  0.000000E+00  0.434977E+00
    2   40.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   40.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   40.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   40.00    0.00   1208.00  0.000000E+00  0.000000E+00
   -1   40.00    0.00   1208.00  0.000000E+00  0.434977E+00
    1   41.00    0.00   1208.00  0.000000E+00  0.413596E+00
    2   41.00    0.00   1208.00  0.000000E+00  0.000000E+00
    3   41.00    0.00   1208.00  0.000000E+00  0.000000E+00
    4   41.00    0.00   1208.00  0.000000E+00  0.000000E+00
    0   41.00    0.00   1208.00  0.000000E+00  0.000000E+00
